X,Y,ET_ID,FID_JustSo,ET_X,ET_Y,ET_ORDER,ET_IDP
306523.719499999657273,5447300.282299999148,28,1,306523.71950000001,5447300.28230000008,0.00000000000,28
306520.801799999549985,5447303.1402,28,1,306520.80180000002,5447303.14020000026,1.00000000000,28
306515.937800000421703,5447306.5075,28,1,306515.93780000001,5447306.50750000030,2.00000000000,28
306515.937800000421703,5447306.5075,29,1,306515.93780000001,5447306.50750000030,0.00000000000,29
306507.715900000184774,5447312.199599999934,29,1,306507.71590000001,5447312.19959999993,1.00000000000,29
306507.715900000184774,5447312.199599999934,30,1,306507.71590000001,5447312.19959999993,0.00000000000,30
306499.494,5447317.891699999571,30,1,306499.49400000001,5447317.89169999957,1.00000000000,30
306499.494,5447317.891699999571,31,1,306499.49400000001,5447317.89169999957,0.00000000000,31
306491.271999999880791,5447323.583799999207,31,1,306491.27200000000,5447323.58380000014,1.00000000000,31
306491.271999999880791,5447323.583799999207,32,1,306491.27200000000,5447323.58380000014,0.00000000000,32
306489.144199999981,5447325.0569,32,1,306489.14419999998,5447325.05690000020,1.00000000000,32
306483.236200000159442,5447329.5327,32,1,306483.23619999998,5447329.53270000033,2.00000000000,32
306483.236200000159442,5447329.5327,33,1,306483.23619999998,5447329.53270000033,0.00000000000,33
306475.2653,5447335.571299999952,33,1,306475.26530000003,5447335.57129999995,1.00000000000,33
306475.2653,5447335.571299999952,34,1,306475.26530000003,5447335.57129999995,0.00000000000,34
306472.225999999791384,5447337.8738,34,1,306472.22600000002,5447337.87380000018,1.00000000000,34
306467.6381,5447342.0248,34,1,306467.63809999998,5447342.02479999978,2.00000000000,34
306467.6381,5447342.0248,35,1,306467.63809999998,5447342.02479999978,0.00000000000,35
306460.222699999809265,5447348.73389999941,35,1,306460.22269999998,5447348.73390000034,1.00000000000,35
306460.222699999809265,5447348.73389999941,36,1,306460.22269999998,5447348.73390000034,0.00000000000,36
306456.076799999923,5447352.485,36,1,306456.07679999998,5447352.48500000034,1.00000000000,36
306453.4627,5447356.035499999,36,1,306453.46269999997,5447356.03550000023,2.00000000000,36
306453.4627,5447356.035499999,37,1,306453.46269999997,5447356.03550000023,0.00000000000,37
306447.533800000324845,5447364.0883,37,1,306447.53379999998,5447364.08829999994,1.00000000000,37
306447.533800000324845,5447364.0883,38,1,306447.53379999998,5447364.08829999994,0.00000000000,38
306441.604799999855459,5447372.141,38,1,306441.60479999997,5447372.14099999983,1.00000000000,38
306441.604799999855459,5447372.141,39,1,306441.60479999997,5447372.14099999983,0.00000000000,39
306438.902300000190735,5447375.811599999666,39,1,306438.90230000002,5447375.81159999967,1.00000000000,39
306436.207499999552965,5447380.5394,39,1,306436.20750000002,5447380.53940000013,2.00000000000,39
306436.207499999552965,5447380.5394,40,1,306436.20750000002,5447380.53940000013,0.00000000000,40
306431.255400000140071,5447389.227099999785,40,1,306431.25540000002,5447389.22709999979,1.00000000000,40
306431.255400000140071,5447389.227099999785,41,1,306431.25540000002,5447389.22709999979,0.00000000000,41
306426.303399999625981,5447397.914899999276,41,1,306426.30339999998,5447397.91490000021,1.00000000000,41
306426.303399999625981,5447397.914899999276,42,1,306426.30339999998,5447397.91490000021,0.00000000000,42
306421.3514,5447406.6027,42,1,306421.35139999999,5447406.60269999970,1.00000000000,42
306421.3514,5447406.6027,43,1,306421.35139999999,5447406.60269999970,0.00000000000,43
306416.399299999698997,5447415.2905,43,1,306416.39929999999,5447415.29050000012,1.00000000000,43
306416.399299999698997,5447415.2905,44,1,306416.39929999999,5447415.29050000012,0.00000000000,44
306411.447300000116229,5447423.978199999779,44,1,306411.44730000000,5447423.97819999978,1.00000000000,44
306411.447300000116229,5447423.978199999779,45,1,306411.44730000000,5447423.97819999978,0.00000000000,45
306406.495199999772012,5447432.66599999927,45,1,306406.49520000000,5447432.66600000020,1.00000000000,45
306406.495199999772012,5447432.66599999927,46,1,306406.49520000000,5447432.66600000020,0.00000000000,46
306402.37430000025779,5447439.8957,46,1,306402.37430000002,5447439.89570000023,1.00000000000,46
306401.88300000037998,5447441.500499999151,46,1,306401.88299999997,5447441.50050000008,2.00000000000,46
306401.88300000037998,5447441.500499999151,47,1,306401.88299999997,5447441.50050000008,0.00000000000,47
306398.955900000408292,5447451.0625,47,1,306398.95590000000,5447451.06250000000,1.00000000000,47
306398.955900000408292,5447451.0625,48,1,306398.95590000000,5447451.06250000000,0.00000000000,48
306396.028800000436604,5447460.6245,48,1,306396.02879999997,5447460.62449999992,1.00000000000,48
306396.028800000436604,5447460.6245,49,1,306396.02879999997,5447460.62449999992,0.00000000000,49
306393.101599999703467,5447470.186499999836,49,1,306393.10159999999,5447470.18649999984,1.00000000000,49
306393.101599999703467,5447470.186499999836,50,1,306393.10159999999,5447470.18649999984,0.00000000000,50
306390.174499999731779,5447479.7485,50,1,306390.17450000002,5447479.74849999975,1.00000000000,50
306390.174499999731779,5447479.7485,51,1,306390.17450000002,5447479.74849999975,0.00000000000,51
306388.916600000113249,5447483.857499999925,51,1,306388.91660000000,5447483.85749999993,1.00000000000,51
306387.4024,5447489.355599999428,51,1,306387.40240000002,5447489.35560000036,2.00000000000,51
306387.4024,5447489.355599999428,52,1,306387.40240000002,5447489.35560000036,0.00000000000,52
306384.7472,5447498.9966,52,1,306384.74719999998,5447498.99660000019,1.00000000000,52
306384.7472,5447498.9966,53,1,306384.74719999998,5447498.99660000019,0.00000000000,53
306382.091900000348687,5447508.637599999085,53,1,306382.09190000000,5447508.63760000002,1.00000000000,53
306382.091900000348687,5447508.637599999085,54,1,306382.09190000000,5447508.63760000002,0.00000000000,54
306379.436700000427663,5447518.278699999675,54,1,306379.43670000002,5447518.27869999968,1.00000000000,54
306379.436700000427663,5447518.278699999675,55,1,306379.43670000002,5447518.27869999968,0.00000000000,55
306378.150500000454485,5447522.948799999431,55,1,306378.15049999999,5447522.94880000036,1.00000000000,55
306377.007799999788404,5447527.9766,55,1,306377.00780000002,5447527.97659999970,2.00000000000,55
306377.007799999788404,5447527.9766,56,1,306377.00780000002,5447527.97659999970,0.00000000000,56
306374.791600000113249,5447537.7279,56,1,306374.79160000000,5447537.72790000029,1.00000000000,56
306374.791600000113249,5447537.7279,57,1,306374.79160000000,5447537.72790000029,0.00000000000,57
306372.575400000438094,5447547.479299999774,57,1,306372.57539999997,5447547.47929999977,1.00000000000,57
306372.575400000438094,5447547.479299999774,58,1,306372.57539999997,5447547.47929999977,0.00000000000,58
306370.359199999831617,5447557.230599999428,58,1,306370.35920000001,5447557.23060000036,1.00000000000,58
306370.359199999831617,5447557.230599999428,59,1,306370.35920000001,5447557.23060000036,0.00000000000,59
306369.1787,5447562.424599999562,59,1,306369.17869999999,5447562.42459999956,1.00000000000,59
306368.1891,5447566.9921,59,1,306368.18910000002,5447566.99210000038,2.00000000000,59
306368.1891,5447566.9921,60,1,306368.18910000002,5447566.99210000038,0.00000000000,60
306366.071499999613,5447576.765399999917,60,1,306366.07150000002,5447576.76539999992,1.00000000000,60
306366.071499999613,5447576.765399999917,61,1,306366.07150000002,5447576.76539999992,0.00000000000,61
306363.954,5447586.538599999622,61,1,306363.95400000003,5447586.53859999962,1.00000000000,61
306363.954,5447586.538599999622,62,1,306363.95400000003,5447586.53859999962,0.00000000000,62
306362.513899999670684,5447593.185,62,1,306362.51390000002,5447593.18499999959,1.00000000000,62
306362.236200000159442,5447596.3723,62,1,306362.23619999998,5447596.37229999993,2.00000000000,62
306362.236200000159442,5447596.3723,63,1,306362.23619999998,5447596.37229999993,0.00000000000,63
306361.368099999614,5447606.334599999711,63,1,306361.36810000002,5447606.33459999971,1.00000000000,63
306361.368099999614,5447606.334599999711,64,1,306361.36810000002,5447606.33459999971,0.00000000000,64
306360.5,5447616.2968,64,1,306360.50000000000,5447616.29679999966,1.00000000000,64
306360.5,5447616.2968,65,1,306360.50000000000,5447616.29679999966,0.00000000000,65
306359.822399999946,5447624.073599999771,65,1,306359.82240000000,5447624.07359999977,1.00000000000,65
306359.822399999946,5447626.2673,65,1,306359.82240000000,5447626.26730000041,2.00000000000,65
306359.822399999946,5447626.2673,66,1,306359.82240000000,5447626.26730000041,0.00000000000,66
306359.822399999946,5447636.2673,66,1,306359.82240000000,5447636.26730000041,1.00000000000,66
306359.822399999946,5447636.2673,67,1,306359.82240000000,5447636.26730000041,0.00000000000,67
306359.822399999946,5447646.2673,67,1,306359.82240000000,5447646.26730000041,1.00000000000,67
306359.822399999946,5447646.2673,68,1,306359.82240000000,5447646.26730000041,0.00000000000,68
306359.822399999946,5447650.860799999908,68,1,306359.82240000000,5447650.86079999991,1.00000000000,68
306359.164599999785423,5447656.227199999616,68,1,306359.16460000002,5447656.22719999962,2.00000000000,68
306359.164599999785423,5447656.227199999616,69,1,306359.16460000002,5447656.22719999962,0.00000000000,69
306357.9479,5447666.152899999171,69,1,306357.94790000003,5447666.15290000010,1.00000000000,69
306357.9479,5447666.152899999171,70,1,306357.94790000003,5447666.15290000010,0.00000000000,70
306357.387199999764562,5447670.7268,70,1,306357.38720000000,5447670.72680000030,1.00000000000,70
306355.631299999542534,5447675.824699999765,70,1,306355.63130000001,5447675.82469999976,2.00000000000,70
306355.631299999542534,5447675.824699999765,71,1,306355.63130000001,5447675.82469999976,0.00000000000,71
306352.374599999748,5447685.2796,71,1,306352.37459999998,5447685.27960000001,1.00000000000,71
306352.374599999748,5447685.2796,72,1,306352.37459999998,5447685.27960000001,0.00000000000,72
306349.440799999982,5447693.7971,72,1,306349.44079999998,5447693.79710000008,1.00000000000,72
306348.936599999666214,5447694.650699999183,72,1,306348.93660000002,5447694.65070000011,2.00000000000,72
306348.936599999666214,5447694.650699999183,73,1,306348.93660000002,5447694.65070000011,0.00000000000,73
306343.850999999791384,5447703.2609,73,1,306343.85100000002,5447703.26090000011,1.00000000000,73
306343.850999999791384,5447703.2609,74,1,306343.85100000002,5447703.26090000011,0.00000000000,74
306338.765499999747,5447711.8712,74,1,306338.76549999998,5447711.87119999994,1.00000000000,74
306338.765499999747,5447711.8712,75,1,306338.76549999998,5447711.87119999994,0.00000000000,75
306336.495799999684095,5447715.713899999857,75,1,306336.49579999998,5447715.71389999986,1.00000000000,75
306332.8881,5447719.9143,75,1,306332.88809999998,5447719.91430000030,2.00000000000,75
306332.8881,5447719.9143,76,1,306332.88809999998,5447719.91430000030,0.00000000000,76
306326.372499999590218,5447727.50029999949,76,1,306326.37250000000,5447727.50030000042,1.00000000000,76
306326.372499999590218,5447727.50029999949,77,1,306326.37250000000,5447727.50030000042,0.00000000000,77
306319.8569,5447735.0863,77,1,306319.85690000001,5447735.08629999962,1.00000000000,77
306319.8569,5447735.0863,78,1,306319.85690000001,5447735.08629999962,0.00000000000,78
306318.552199999801815,5447736.605299999937,78,1,306318.55219999998,5447736.60529999994,1.00000000000,78
306314.816399999894202,5447743.67669999972,78,1,306314.81640000001,5447743.67669999972,2.00000000000,78
306314.816399999894202,5447743.67669999972,79,1,306314.81640000001,5447743.67669999972,0.00000000000,79
306310.145200000144541,5447752.518699999899,79,1,306310.14520000003,5447752.51869999990,1.00000000000,79
306310.145200000144541,5447752.518699999899,80,1,306310.14520000003,5447752.51869999990,0.00000000000,80
306305.474000000394881,5447761.3606,80,1,306305.47399999999,5447761.36060000025,1.00000000000,80
306305.474000000394881,5447761.3606,81,1,306305.47399999999,5447761.36060000025,0.00000000000,81
306304.197399999946,5447763.777,81,1,306304.19740000000,5447763.77699999977,1.00000000000,81
306302.029799999669194,5447770.7133,81,1,306302.02980000002,5447770.71329999994,2.00000000000,81
306302.029799999669194,5447770.7133,82,1,306302.02980000002,5447770.71329999994,0.00000000000,82
306299.04700000025332,5447780.258099999279,82,1,306299.04700000002,5447780.25810000021,1.00000000000,82
306299.04700000025332,5447780.258099999279,83,1,306299.04700000002,5447780.25810000021,0.00000000000,83
306296.064199999906,5447789.802899999544,83,1,306296.06420000002,5447789.80289999954,1.00000000000,83
306296.064199999906,5447789.802899999544,84,1,306296.06420000002,5447789.80289999954,0.00000000000,84
306295.866399999707937,5447790.436,84,1,306295.86640000000,5447790.43599999975,1.00000000000,84
306292.9523,5447799.306299999356,84,1,306292.95230000000,5447799.30630000029,2.00000000000,84
306292.9523,5447799.306299999356,85,1,306292.95230000000,5447799.30630000029,0.00000000000,85
306289.831199999898672,5447808.8068,85,1,306289.83120000002,5447808.80680000037,1.00000000000,85
306289.831199999898672,5447808.8068,86,1,306289.83120000002,5447808.80680000037,0.00000000000,86
306286.710199999623001,5447818.30729999952,86,1,306286.71019999997,5447818.30730000045,1.00000000000,86
306286.710199999623001,5447818.30729999952,87,1,306286.71019999997,5447818.30730000045,0.00000000000,87
306283.589100000448525,5447827.8077,87,1,306283.58909999998,5447827.80769999977,1.00000000000,87
306283.589100000448525,5447827.8077,88,1,306283.58909999998,5447827.80769999977,0.00000000000,88
306280.468000000342727,5447837.308199999854,88,1,306280.46799999999,5447837.30819999985,1.00000000000,88
306280.468000000342727,5447837.308199999854,89,1,306280.46799999999,5447837.30819999985,0.00000000000,89
306277.346900000236928,5447846.808599999174,89,1,306277.34690000000,5447846.80860000011,1.00000000000,89
306277.346900000236928,5447846.808599999174,90,1,306277.34690000000,5447846.80860000011,0.00000000000,90
306274.22580000013113,5447856.3091,90,1,306274.22580000001,5447856.30910000019,1.00000000000,90
306274.22580000013113,5447856.3091,91,1,306274.22580000001,5447856.30910000019,0.00000000000,91
306272.539800000376999,5447861.441299999133,91,1,306272.53980000003,5447861.44130000006,1.00000000000,91
306270.919800000265241,5447865.7444,91,1,306270.91979999997,5447865.74440000020,2.00000000000,91
306270.919800000265241,5447865.7444,92,1,306270.91979999997,5447865.74440000020,0.00000000000,92
306267.396499999798834,5447875.103199999779,92,1,306267.39649999997,5447875.10319999978,1.00000000000,92
306267.396499999798834,5447875.103199999779,93,1,306267.39649999997,5447875.10319999978,0.00000000000,93
